payroll_id,employee_id,pay_period,gross_pay,deductions,net_pay,paid_date,created_at,updated_at
1,1,2026-08,42000.00,4200.00,37800.00,2026-08-01,2026-08-01 08:45:00,2026-08-01 08:45:00
2,2,2026-08,45000.00,4500.00,40500.00,2026-08-01,2026-08-01 08:46:00,2026-08-01 08:46:00
3,3,2026-08,48000.00,4800.00,43200.00,2026-08-01,2026-08-01 08:47:00,2026-08-01 08:47:00
4,4,2026-08,52000.00,5200.00,46800.00,2026-08-01,2026-08-01 08:48:00,2026-08-01 08:48:00
5,5,2026-08,55000.00,5500.00,49500.00,2026-08-01,2026-08-01 08:49:00,2026-08-01 08:49:00
6,6,2026-08,40000.00,4000.00,36000.00,2026-08-01,2026-08-01 08:50:00,2026-08-01 08:50:00
7,7,2026-08,47000.00,4700.00,42300.00,2026-08-01,2026-08-01 08:51:00,2026-08-01 08:51:00
8,8,2026-08,39000.00,3900.00,35100.00,2026-08-01,2026-08-01 08:52:00,2026-08-01 08:52:00
9,9,2026-08,46000.00,4600.00,41400.00,2026-08-01,2026-08-01 08:53:00,2026-08-01 08:53:00
10,10,2026-08,50000.00,5000.00,55000.00,2026-08-01,2026-08-01 08:54:00,2026-08-01 08:54:00
11,11,2026-08,43000.00,4300.00,38700.00,2026-08-01,2026-08-01 08:55:00,2026-08-01 08:55:00
12,12,2026-08,36000.00,3600.00,32400.00,2026-08-01,2026-08-01 08:56:00,2026-08-01 08:56:00
